timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
15;07:00;0.7;21.92;0.0;0.0;15576.52;-15576.52;-144.08;37408.1;5014.2;0.0;-4.87;-18.5;3.56
16;07:30;0.76;21.92;0.0;0.0;16813.6;-16813.6;-155.53;40044.7;5425.0;0.0;-5.02;-18.5;3.54
17;08:00;0.79;21.92;0.0;0.0;17015.41;-17015.41;-72.32;40972.3;5172.0;0.0;-5.34;-8.5;3.48
18;08:30;0.79;21.92;0.0;0.0;16102.17;-16102.17;-68.43;40073.1;4209.6;0.0;-5.84;-8.5;3.39
19;09:00;0.76;21.92;0.0;0.0;14588.02;-14588.02;-0.73;37826.7;3246.4;0.0;-6.03;-0.1;3.36
20;09:30;0.68;21.92;0.0;0.0;12443.49;-12443.49;-0.62;34140.1;2282.5;0.0;-5.88;-0.1;3.38
21;10:00;0.62;21.92;0.0;0.0;11213.46;-11213.46;22.43;31448.3;1969.7;0.0;-5.63;4.0;3.43
22;10:30;0.57;21.92;0.0;0.0;10963.21;-10963.21;21.93;29819.9;2353.0;0.0;-5.28;4.0;3.49
23;11:00;0.56;21.92;0.0;0.0;11847.9;-11847.9;49.17;29371.1;3496.3;0.0;-4.98;8.3;3.54
24;11:30;0.56;21.92;0.0;0.0;13925.15;-13925.15;57.79;30183.2;5452.0;0.0;-4.73;8.3;3.59
25;12:00;0.53;21.92;0.0;0.0;14014.44;-14014.44;49.75;28257.7;6138.4;0.0;-4.58;7.1;3.62
26;12:30;0.43;21.92;0.0;0.0;11986.16;-11986.16;42.55;23405.9;5467.9;0.0;-4.53;7.1;3.63
27;13:00;0.41;21.92;0.0;0.0;11001.04;-11001.04;-9.35;21909.6;4917.9;0.0;-4.45;-1.7;3.64
28;13:30;0.44;21.92;0.0;0.0;11121.59;-11121.59;-9.45;24000.4;4496.6;0.0;-4.35;-1.7;3.66
29;14:00;0.49;21.92;0.0;0.0;11411.5;-11411.5;-9.7;26921.9;4024.0;0.0;-4.25;-1.7;3.67
30;14:30;0.56;21.92;0.0;0.0;11879.51;-11879.51;-10.1;30731.4;3496.4;0.0;-4.15;-1.7;3.69
31;15:00;0.55;21.92;0.0;0.0;12275.06;-12275.06;-20.87;30548.3;3972.2;0.0;-4.08;-3.4;3.71
32;15:30;0.47;21.92;0.0;0.0;12605.4;-12605.4;-21.43;26097.3;5520.6;0.0;-4.03;-3.4;3.72
33;16:00;0.45;21.92;0.0;0.0;12756.33;-12756.33;-6.38;24973.2;5998.4;0.0;-3.95;-1.0;3.73
34;16:30;0.49;21.92;0.0;0.0;12706.29;-12706.29;-6.35;27405.5;5331.6;0.0;-3.85;-1.0;3.75
35;17:00;0.49;21.92;0.0;0.0;12401.51;-12401.51;73.79;27546.3;5007.7;0.0;-3.8;11.9;3.76
36;17:30;0.45;21.92;0.0;0.0;11829.24;-11829.24;70.38;25237.4;5050.1;0.0;-3.8;11.9;3.76
37;18:00;0.44;21.92;0.0;0.0;11682.44;-11682.44;57.24;24699.1;5023.5;0.0;-3.87;9.8;3.74
38;18:30;0.47;21.92;0.0;0.0;11994.86;-11994.86;58.77;26053.5;4923.0;0.0;-4.02;9.8;3.72
39;19:00;0.47;21.92;0.0;0.0;11611.06;-11611.06;77.21;25890.1;4622.4;0.0;-3.91;13.3;3.74
40;19:30;0.43;21.92;0.0;0.0;10495.48;-10495.48;69.79;24104.3;4107.8;0.0;-3.51;13.3;3.81
41;20:00;0.38;21.92;0.0;0.0;9613.32;-9613.32;38.45;21793.9;3964.8;0.0;-3.01;8.0;3.9
42;20:30;0.32;21.92;0.0;0.0;8998.66;-8998.66;35.99;18922.7;4219.2;0.0;-2.41;8.0;4.01
43;21:00;0.27;21.92;0.0;0.0;8848.33;-8848.33;34.07;16361.6;4808.2;0.0;-1.86;7.7;4.11
44;21:30;0.23;21.92;0.0;0.0;9177.2;-9177.2;35.33;14132.1;5755.2;0.0;-1.36;7.7;4.2
45;22:00;0.2;21.93;0.0;0.0;8085.0;-8085.0;34.77;11886.5;5085.0;0.0;-0.98;8.6;4.26
46;22:30;0.2;21.97;0.0;0.0;5686.17;-5686.17;24.45;9623.9;2686.2;0.0;-0.73;8.6;4.31
47;23:00;0.2;22.02;0.0;0.0;4883.33;-4883.33;-8.79;8239.7;1883.3;0.0;-0.48;-3.6;4.35
48;23:30;0.2;22.09;0.0;0.0;5786.55;-5786.55;-10.42;7794.5;2786.6;0.0;-0.23;-3.6;4.4
