timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
23;11:00;0.42;21.79;0.0;0.0;10315.26;-10315.26;155.24;27422.9;3959.4;0.0;-0.5;30.1;4.35
24;11:30;0.43;21.79;0.0;0.0;12609.1;-12609.1;189.77;28033.6;6112.9;0.0;-0.5;30.1;4.35
25;12:00;0.43;21.79;0.0;0.0;13022.81;-13022.81;192.09;27875.2;6556.5;0.0;-0.52;29.5;4.35
26;12:30;0.42;21.79;0.0;0.0;11426.06;-11426.06;168.53;26894.9;5172.4;0.0;-0.57;29.5;4.34
27;13:00;0.41;21.79;0.0;0.0;11107.11;-11107.11;157.72;26427.1;4942.4;0.0;-0.65;28.4;4.32
28;13:30;0.41;21.79;0.0;0.0;12155.03;-12155.03;172.6;26507.2;5945.9;0.0;-0.75;28.4;4.31
29;14:00;0.4;21.79;0.0;0.0;12628.96;-12628.96;174.28;25729.1;6575.2;0.0;-0.85;27.6;4.29
30;14:30;0.38;21.79;0.0;0.0;12486.71;-12486.71;172.32;24033.3;6804.7;0.0;-0.95;27.6;4.27
31;15:00;0.37;21.79;0.0;0.0;11951.0;-11951.0;166.72;23150.7;6469.3;0.0;-0.98;27.9;4.26
32;15:30;0.36;21.79;0.0;0.0;10997.28;-10997.28;153.41;23137.3;5530.3;0.0;-0.93;27.9;4.27
33;16:00;0.36;21.79;0.0;0.0;11332.12;-11332.12;161.48;22664.0;5970.8;0.0;-0.95;28.5;4.27
34;16:30;0.34;21.79;0.0;0.0;13043.02;-13043.02;185.86;21699.0;7886.0;0.0;-1.05;28.5;4.25
35;17:00;0.36;21.79;0.0;0.0;14071.78;-14071.78;224.44;22326.0;8744.7;0.0;-1.15;31.9;4.23
36;17:30;0.39;21.79;0.0;0.0;14376.35;-14376.35;229.3;24654.7;8474.1;0.0;-1.25;31.9;4.22
37;18:00;0.38;21.79;0.0;0.0;14075.81;-14075.81;219.58;23809.1;8355.6;0.0;-1.32;31.2;4.2
38;18:30;0.31;21.79;0.0;0.0;13121.26;-13121.26;204.69;19570.2;8399.9;0.0;-1.37;31.2;4.19
39;19:00;0.28;21.79;0.0;0.0;11710.64;-11710.64;186.78;17068.7;7585.6;0.0;-1.38;31.9;4.19
40;19:30;0.26;21.79;0.0;0.0;9816.51;-9816.51;156.57;16424.6;5853.6;0.0;-1.33;31.9;4.2
41;20:00;0.26;21.79;0.0;0.0;8756.56;-8756.56;124.78;16346.9;4812.4;0.0;-1.32;28.5;4.2
42;20:30;0.27;21.79;0.0;0.0;8588.17;-8588.17;122.38;16874.8;4509.6;0.0;-1.37;28.5;4.19
43;21:00;0.25;21.79;0.0;0.0;7659.22;-7659.22;96.12;15288.1;3955.0;0.0;-1.4;25.1;4.19
44;21:30;0.2;21.8;0.0;0.0;6131.19;-6131.19;76.95;11441.0;3131.2;0.0;-1.4;25.1;4.19
45;22:00;0.2;21.84;0.0;0.0;5511.44;-5511.44;55.11;8950.9;2511.4;0.0;-1.47;20.0;4.17
46;22:30;0.2;21.89;0.0;0.0;5109.86;-5109.86;51.1;7911.3;2109.9;0.0;-1.62;20.0;4.15
47;23:00;0.2;21.94;0.0;0.0;4793.55;-4793.55;31.4;8354.5;1793.6;0.0;-1.75;13.1;4.13
48;23:30;0.2;21.96;0.0;0.0;4568.4;-4568.4;29.92;10382.6;1568.4;0.0;-1.85;13.1;4.11
