timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
32;15:30;0.37;0.0;0.0;21.91;114.85;39.4;23.64;0.0;0.0;1537.16;-1537.16;21.44;4703.9;0.0;425.9;0.0;630000.0;0.0;-0.93;27.9;4.27;1.57
33;16:00;0.36;0.0;0.0;21.91;114.42;39.11;23.47;0.0;0.0;1578.51;-1578.51;22.49;4599.7;0.0;490.6;0.0;630000.0;0.0;-0.95;28.5;4.27;1.57
34;16:30;0.34;0.0;0.0;21.91;113.99;38.82;23.29;0.0;0.0;1973.92;-1973.92;28.13;4279.7;0.0;956.7;0.0;630000.0;0.0;-1.05;28.5;4.25;1.55
35;17:00;0.33;0.0;0.0;21.91;113.56;38.53;23.12;0.0;0.0;2034.1;-2034.1;32.44;4123.2;0.0;1049.5;0.0;630000.0;0.0;-1.15;31.9;4.23;1.53
36;17:30;0.33;0.0;0.0;21.91;113.13;38.24;22.94;0.0;0.0;1736.45;-1736.45;27.7;4141.5;0.0;743.3;0.0;630000.0;0.0;-1.25;31.9;4.22;1.52
37;18:00;0.32;0.0;0.0;21.91;112.7;37.94;22.77;0.0;0.0;1549.37;-1549.37;24.17;4043.7;0.0;576.3;0.0;630000.0;0.0;-1.32;31.2;4.2;1.5
38;18:30;0.31;0.0;0.0;21.91;112.27;37.65;22.59;0.0;0.0;1480.26;-1480.26;23.09;3821.7;0.0;558.0;0.0;630000.0;0.0;-1.37;31.2;4.19;1.49
39;19:00;0.29;0.0;4700.0;21.91;110.92;41.14;24.68;0.0;0.0;6188.6;-6188.6;98.71;3544.8;96.0;632.3;1.0;0.0;0.0;-1.38;31.9;4.19;1.49
40;19:30;0.26;0.0;0.0;21.91;110.49;41.14;24.68;0.0;0.0;1580.18;-1580.18;25.2;3209.3;0.0;805.6;1.0;0.0;0.0;-1.33;31.9;4.2;1.5
41;20:00;0.25;0.0;0.0;21.91;110.05;41.14;24.68;0.0;0.0;1624.51;-1624.51;23.15;3058.6;0.0;885.9;1.0;0.0;0.0;-1.32;28.5;4.2;1.5
42;20:30;0.25;0.0;0.0;21.91;103.58;41.14;24.68;0.0;0.0;1618.09;-1618.09;23.06;3105.3;631.9;866.7;1.0;0.0;0.0;-1.37;28.5;4.19;1.49
43;21:00;0.25;0.0;0.0;21.91;103.15;41.14;24.68;0.0;0.0;1513.09;-1513.09;18.99;3080.3;0.0;766.8;1.0;0.0;0.0;-1.4;25.1;4.19;1.49
44;21:30;0.24;0.0;0.0;21.91;98.79;41.14;24.68;0.0;0.0;1302.64;-1302.64;16.35;2978.9;410.2;580.6;1.0;0.0;0.0;-1.4;25.1;4.19;1.49
45;22:00;0.21;0.0;0.0;21.91;98.36;41.14;24.68;0.0;0.0;1035.71;-1035.71;10.36;2611.0;0.0;399.5;1.0;0.0;0.0;-1.47;20.0;4.17;1.47
46;22:30;0.2;0.0;0.0;21.95;97.93;41.14;24.68;0.0;0.0;823.97;-823.97;8.24;1958.3;0.0;224.0;1.0;0.0;0.0;-1.62;20.0;4.15;1.45
47;23:00;0.2;0.0;0.0;22.0;97.5;41.14;24.68;0.0;0.0;738.16;-738.16;4.83;1745.9;0.0;138.2;1.0;0.0;0.0;-1.75;13.1;4.13;1.43
48;23:30;0.2;0.0;0.0;22.04;97.07;41.14;24.68;0.0;0.0;748.28;-748.28;4.9;2004.1;0.0;148.3;1.0;0.0;0.0;-1.85;13.1;4.11;1.41
