timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
20;09:30;0.54;21.82;0.0;0.0;11514.8;-11514.8;153.72;34712.3;3441.2;0.0;-0.63;26.7;4.33
21;10:00;0.49;21.82;0.0;0.0;10855.63;-10855.63;146.01;31390.2;3564.9;0.0;-0.58;26.9;4.34
22;10:30;0.42;21.82;0.0;0.0;10230.19;-10230.19;137.6;27200.4;3918.8;0.0;-0.53;26.9;4.35
23;11:00;0.37;21.82;0.0;0.0;9694.42;-9694.42;145.9;24159.8;4088.7;0.0;-0.5;30.1;4.35
24;11:30;0.35;21.82;0.0;0.0;9251.23;-9251.23;139.23;22347.5;4062.2;0.0;-0.5;30.1;4.35
25;12:00;0.34;21.82;0.0;0.0;8876.83;-8876.83;130.93;21812.3;3805.7;0.0;-0.52;29.5;4.35
26;12:30;0.35;21.82;0.0;0.0;8576.58;-8576.58;126.5;22642.4;3303.5;0.0;-0.57;29.5;4.34
27;13:00;0.37;21.82;0.0;0.0;9129.19;-9129.19;129.63;23546.4;3630.8;0.0;-0.65;28.4;4.32
28;13:30;0.38;21.82;0.0;0.0;10594.34;-10594.34;150.44;24529.4;4844.6;0.0;-0.75;28.4;4.31
29;14:00;0.39;21.82;0.0;0.0;10797.63;-10797.63;149.01;24791.2;4962.7;0.0;-0.85;27.6;4.29
30;14:30;0.38;21.82;0.0;0.0;9649.76;-9649.76;133.17;24282.1;3909.5;0.0;-0.95;27.6;4.27
31;15:00;0.37;21.82;0.0;0.0;9848.69;-9848.69;137.39;23129.2;4372.1;0.0;-0.98;27.9;4.26
32;15:30;0.34;21.82;0.0;0.0;11489.33;-11489.33;160.28;21288.1;6455.1;0.0;-0.93;27.9;4.27
33;16:00;0.33;21.82;0.0;0.0;12250.84;-12250.84;174.57;21016.4;7275.4;0.0;-0.95;28.5;4.27
34;16:30;0.36;21.82;0.0;0.0;12073.28;-12073.28;172.04;22422.4;6746.1;0.0;-1.05;28.5;4.25
35;17:00;0.37;21.82;0.0;0.0;11523.98;-11523.98;183.81;23364.2;5951.7;0.0;-1.15;31.9;4.23
36;17:30;0.38;21.82;0.0;0.0;10575.7;-10575.7;168.68;23809.8;4873.9;0.0;-1.25;31.9;4.22
37;18:00;0.38;21.82;0.0;0.0;11238.01;-11238.01;175.31;23457.9;5601.4;0.0;-1.32;31.2;4.2
38;18:30;0.36;21.82;0.0;0.0;13620.17;-13620.17;212.47;22253.4;8258.8;0.0;-1.37;31.2;4.19
39;19:00;0.34;21.82;0.0;0.0;14743.91;-14743.91;235.17;21291.8;9611.5;0.0;-1.38;31.9;4.19
40;19:30;0.33;21.82;0.0;0.0;14523.97;-14523.97;231.66;20589.8;9569.6;0.0;-1.33;31.9;4.2
41;20:00;0.33;21.82;0.0;0.0;14989.18;-14989.18;213.6;20284.9;10107.8;0.0;-1.32;28.5;4.2
42;20:30;0.33;21.82;0.0;0.0;16186.3;-16186.3;230.65;20404.5;11265.9;0.0;-1.37;28.5;4.19
43;21:00;0.31;21.82;0.0;0.0;14956.96;-14956.96;187.71;19350.9;10282.7;0.0;-1.4;25.1;4.19
44;21:30;0.27;21.82;0.0;0.0;11133.7;-11133.7;139.73;17043.1;7010.5;0.0;-1.4;25.1;4.19
45;22:00;0.26;21.82;0.0;0.0;8988.75;-8988.75;89.89;16078.7;5083.6;0.0;-1.47;20.0;4.17
46;22:30;0.27;21.82;0.0;0.0;8639.19;-8639.19;86.39;16550.1;4595.0;0.0;-1.62;20.0;4.15
47;23:00;0.26;21.82;0.0;0.0;8047.29;-8047.29;52.71;15631.0;4203.7;0.0;-1.75;13.1;4.13
48;23:30;0.22;21.82;0.0;0.0;7191.2;-7191.2;47.1;13225.5;3916.4;0.0;-1.85;13.1;4.11
